id_categoria,nombre_categoria,id_electrodomestico,nombre_electrodomestico,id_marca,nombre_marca,id_modelo,nombre_modelo,año_fabricacion,descripcion,voltaje,potencia
C02,limpieza,E00028,Lavadora,M00028,Bosch,MD0028,Serie 6 WAU28PH9ES,2025,"Lavadora marca Bosch modelo Serie 6 WAU28PH9ES, eficiente y de uso doméstico.",240,614
C02,limpieza,E00029,Plancha,M00029,Black+Decker,MD0029,D3030,2015,"Plancha marca Black+Decker modelo D3030, eficiente y de uso doméstico.",127,2652
C02,limpieza,E00030,Secadora,M00030,Whirlpool,MD0030,WED4815EW,2025,"Secadora marca Whirlpool modelo WED4815EW, eficiente y de uso doméstico.",240,1437
C02,limpieza,E00031,Lavavajillas,M00031,Bosch,MD0031,Serie 4 SMS46KW02E,2018,"Lavavajillas marca Bosch modelo Serie 4 SMS46KW02E, eficiente y de uso doméstico.",127,1624
C02,limpieza,E00032,Lavadora,M00032,Samsung,MD0032,WA50R5400AV,2015,"Lavadora marca Samsung modelo WA50R5400AV, eficiente y de uso doméstico.",120,1803
C02,limpieza,E00033,Secadora,M00033,Bosch,MD0033,Serie 4 WTG86400UC,2019,"Secadora marca Bosch modelo Serie 4 WTG86400UC, eficiente y de uso doméstico.",220,1960
C02,limpieza,E00034,Lavavajillas,M00034,Mabe,MD0034,LP8000WG,2022,"Lavavajillas marca Mabe modelo LP8000WG, eficiente y de uso doméstico.",120,1855
C02,limpieza,E00035,Aspiradora,M00035,Miele,MD0035,Classic C1,2017,"Aspiradora marca Miele modelo Classic C1, eficiente y de uso doméstico.",220,703
C02,limpieza,E00036,Plancha,M00036,Philips,MD0036,GC5039/30,2022,"Plancha marca Philips modelo GC5039/30, eficiente y de uso doméstico.",127,1752
C02,limpieza,E00037,Secadora,M00037,Whirlpool,MD0037,WED4815EW,2020,"Secadora marca Whirlpool modelo WED4815EW, eficiente y de uso doméstico.",127,806
C02,limpieza,E00038,Lavadora,M00038,LG,MD0038,F4J6VY2W,2023,"Lavadora marca LG modelo F4J6VY2W, eficiente y de uso doméstico.",220,1762
C02,limpieza,E00039,Lavavajillas,M00039,Bosch,MD0039,Serie 4 SMS46KW02E,2024,"Lavavajillas marca Bosch modelo Serie 4 SMS46KW02E, eficiente y de uso doméstico.",120,1466
C02,limpieza,E00040,Lavavajillas,M00040,Mabe,MD0040,LP8000WG,2022,"Lavavajillas marca Mabe modelo LP8000WG, eficiente y de uso doméstico.",220,2163
C02,limpieza,E00041,Plancha,M00041,Rowenta,MD0041,DW5080,2024,"Plancha marca Rowenta modelo DW5080, eficiente y de uso doméstico.",127,1358
C02,limpieza,E00042,Hidrolavadora,M00042,Sun Joe,MD0042,SPX3000,2015,"Hidrolavadora marca Sun Joe modelo SPX3000, eficiente y de uso doméstico.",127,2067
C02,limpieza,E00043,Lavadora,M00043,Bosch,MD0043,Serie 6 WAU28PH9ES,2017,"Lavadora marca Bosch modelo Serie 6 WAU28PH9ES, eficiente y de uso doméstico.",240,1024
C02,limpieza,E00044,Plancha,M00044,Black+Decker,MD0044,D3030,2015,"Plancha marca Black+Decker modelo D3030, eficiente y de uso doméstico.",240,1020
C02,limpieza,E00045,Lavadora,M00045,Samsung,MD0045,WA50R5400AV,2018,"Lavadora marca Samsung modelo WA50R5400AV, eficiente y de uso doméstico.",240,1245
C02,limpieza,E00046,Vaporeta,M00046,Bissell,MD0046,PowerFresh 1940,2017,"Vaporeta marca Bissell modelo PowerFresh 1940, eficiente y de uso doméstico.",120,1146
C02,limpieza,E00047,Plancha,M00047,Philips,MD0047,GC5039/30,2018,"Plancha marca Philips modelo GC5039/30, eficiente y de uso doméstico.",220,1146
C02,limpieza,E00048,Hidrolavadora,M00048,Bosch,MD0048,EasyAquatak 120,2018,"Hidrolavadora marca Bosch modelo EasyAquatak 120, eficiente y de uso doméstico.",127,2063
C02,limpieza,E00049,Hidrolavadora,M00049,Karcher,MD0049,K4 Full Control,2017,"Hidrolavadora marca Karcher modelo K4 Full Control, eficiente y de uso doméstico.",220,1544
C02,limpieza,E00050,Vaporeta,M00050,Karcher,MD0050,SC 3,2021,"Vaporeta marca Karcher modelo SC 3, eficiente y de uso doméstico.",220,1465
C02,limpieza,E00051,Aspiradora,M00051,Xiaomi,MD0051,Mi Handheld Vacuum,2022,"Aspiradora marca Xiaomi modelo Mi Handheld Vacuum, eficiente y de uso doméstico.",120,1443
C02,limpieza,E00052,Vaporeta,M00052,Karcher,MD0052,SC 3,2021,"Vaporeta marca Karcher modelo SC 3, eficiente y de uso doméstico.",120,1568
C02,limpieza,E00053,Hidrolavadora,M00053,Karcher,MD0053,K4 Full Control,2017,"Hidrolavadora marca Karcher modelo K4 Full Control, eficiente y de uso doméstico.",240,1341
C02,limpieza,E00054,Lavadora,M00054,Whirlpool,MD0054,WTW5000DW,2017,"Lavadora marca Whirlpool modelo WTW5000DW, eficiente y de uso doméstico.",240,1021
C02,limpieza,E00055,Lavavajillas,M00055,Bosch,MD0055,Serie 4 SMS46KW02E,2020,"Lavavajillas marca Bosch modelo Serie 4 SMS46KW02E, eficiente y de uso doméstico.",127,1892
C02,limpieza,E00056,Aspiradora,M00056,Roborock,MD0056,S7,2016,"Aspiradora marca Roborock modelo S7, eficiente y de uso doméstico.",220,1228
C02,limpieza,E00057,Lavadora,M00057,Bosch,MD0057,Serie 6 WAU28PH9ES,2017,"Lavadora marca Bosch modelo Serie 6 WAU28PH9ES, eficiente y de uso doméstico.",127,1427
C02,limpieza,E00058,Vaporeta,M00058,Polti,MD0058,Vaporella,2021,"Vaporeta marca Polti modelo Vaporella, eficiente y de uso doméstico.",240,1781
C02,limpieza,E00059,Plancha,M00059,Oster,MD0059,GCSTBS5802,2016,"Plancha marca Oster modelo GCSTBS5802, eficiente y de uso doméstico.",127,1793
C02,limpieza,E00060,Secadora,M00060,Samsung,MD0060,DV42H5000EW,2020,"Secadora marca Samsung modelo DV42H5000EW, eficiente y de uso doméstico.",120,4641
C02,limpieza,E00061,Lavadora,M00061,Whirlpool,MD0061,WTW5000DW,2015,"Lavadora marca Whirlpool modelo WTW5000DW, eficiente y de uso doméstico.",120,1794
C02,limpieza,E00062,Plancha,M00062,Black+Decker,MD0062,D3030,2025,"Plancha marca Black+Decker modelo D3030, eficiente y de uso doméstico.",220,1808
C02,limpieza,E00063,Lavadora,M00063,LG,MD0063,F4J6VY2W,2016,"Lavadora marca LG modelo F4J6VY2W, eficiente y de uso doméstico.",240,1883
C02,limpieza,E00064,Hidrolavadora,M00064,Bosch,MD0064,EasyAquatak 120,2018,"Hidrolavadora marca Bosch modelo EasyAquatak 120, eficiente y de uso doméstico.",127,1472
C02,limpieza,E00065,Aspiradora,M00065,Dyson,MD0065,V8 Absolute,2021,"Aspiradora marca Dyson modelo V8 Absolute, eficiente y de uso doméstico.",120,754
C02,limpieza,E00066,Vaporeta,M00066,Karcher,MD0066,SC 3,2019,"Vaporeta marca Karcher modelo SC 3, eficiente y de uso doméstico.",220,1457
C02,limpieza,E00067,Secadora,M00067,Bosch,MD0067,Serie 4 WTG86400UC,2025,"Secadora marca Bosch modelo Serie 4 WTG86400UC, eficiente y de uso doméstico.",120,3252
C02,limpieza,E00068,Aspiradora,M00068,Dyson,MD0068,V15 Detect,2020,"Aspiradora marca Dyson modelo V15 Detect, eficiente y de uso doméstico.",120,1743
C02,limpieza,E00069,Lavavajillas,M00069,Bosch,MD0069,SPS2HKW58E,2016,"Lavavajillas marca Bosch modelo SPS2HKW58E, eficiente y de uso doméstico.",120,2086
C02,limpieza,E00070,Aspiradora,M00070,Shark,MD0070,Navigator Lift-Away NV352,2018,"Aspiradora marca Shark modelo Navigator Lift-Away NV352, eficiente y de uso doméstico.",240,1341
C02,limpieza,E00071,Plancha,M00071,Philips,MD0071,GC5039/30,2021,"Plancha marca Philips modelo GC5039/30, eficiente y de uso doméstico.",120,2183
C02,limpieza,E00072,Lavadora,M00072,Samsung,MD0072,WA50R5400AV,2022,"Lavadora marca Samsung modelo WA50R5400AV, eficiente y de uso doméstico.",127,884
C02,limpieza,E00073,Aspiradora,M00073,iRobot,MD0073,Roomba s9,2017,"Aspiradora marca iRobot modelo Roomba s9, eficiente y de uso doméstico.",220,251
C02,limpieza,E00074,Lavavajillas,M00074,Mabe,MD0074,LP8000WG,2023,"Lavavajillas marca Mabe modelo LP8000WG, eficiente y de uso doméstico.",220,1626
C02,limpieza,E00075,Lavadora,M00075,Maytag,MD0075,MVWC565FW,2023,"Lavadora marca Maytag modelo MVWC565FW, eficiente y de uso doméstico.",240,761
C02,limpieza,E00076,Lavadora,M00076,LG,MD0076,F4J6VY2W,2024,"Lavadora marca LG modelo F4J6VY2W, eficiente y de uso doméstico.",127,723
C02,limpieza,E00077,Secadora,M00077,Samsung,MD0077,DV42H5000EW,2016,"Secadora marca Samsung modelo DV42H5000EW, eficiente y de uso doméstico.",120,1942
C02,limpieza,E00078,Lavadora,M00078,Maytag,MD0078,MVWC565FW,2017,"Lavadora marca Maytag modelo MVWC565FW, eficiente y de uso doméstico.",127,837
C02,limpieza,E00079,Lavavajillas,M00079,GE,MD0079,GDT665SSNSS,2023,"Lavavajillas marca GE modelo GDT665SSNSS, eficiente y de uso doméstico.",220,1817
C02,limpieza,E00080,Secadora,M00080,Bosch,MD0080,Serie 4 WTG86400UC,2020,"Secadora marca Bosch modelo Serie 4 WTG86400UC, eficiente y de uso doméstico.",120,3696
C02,limpieza,E00081,Lavavajillas,M00081,GE,MD0081,GDT665SSNSS,2016,"Lavavajillas marca GE modelo GDT665SSNSS, eficiente y de uso doméstico.",220,2383
C02,limpieza,E00082,Aspiradora,M00082,Roborock,MD0082,S7,2021,"Aspiradora marca Roborock modelo S7, eficiente y de uso doméstico.",240,1149
C02,limpieza,E00083,Plancha,M00083,Philips,MD0083,GC5039/30,2020,"Plancha marca Philips modelo GC5039/30, eficiente y de uso doméstico.",120,2570
C02,limpieza,E00084,Lavadora,M00084,Maytag,MD0084,MVWC565FW,2020,"Lavadora marca Maytag modelo MVWC565FW, eficiente y de uso doméstico.",127,1013
C02,limpieza,E00085,Lavadora,M00085,Samsung,MD0085,WA50R5400AV,2017,"Lavadora marca Samsung modelo WA50R5400AV, eficiente y de uso doméstico.",120,1827
C02,limpieza,E00086,Lavavajillas,M00086,Bosch,MD0086,Serie 4 SMS46KW02E,2021,"Lavavajillas marca Bosch modelo Serie 4 SMS46KW02E, eficiente y de uso doméstico.",120,1751
C02,limpieza,E00087,Hidrolavadora,M00087,Karcher,MD0087,K4 Full Control,2021,"Hidrolavadora marca Karcher modelo K4 Full Control, eficiente y de uso doméstico.",127,1976
C02,limpieza,E00088,Vaporeta,M00088,Polti,MD0088,Vaporella,2017,"Vaporeta marca Polti modelo Vaporella, eficiente y de uso doméstico.",120,1308
C02,limpieza,E00089,Vaporeta,M00089,Polti,MD0089,Vaporella,2019,"Vaporeta marca Polti modelo Vaporella, eficiente y de uso doméstico.",127,1247
C02,limpieza,E00090,Lavadora,M00090,Bosch,MD0090,Serie 6 WAU28PH9ES,2024,"Lavadora marca Bosch modelo Serie 6 WAU28PH9ES, eficiente y de uso doméstico.",127,875
C02,limpieza,E00091,Aspiradora,M00091,Dyson,MD0091,V8 Absolute,2018,"Aspiradora marca Dyson modelo V8 Absolute, eficiente y de uso doméstico.",240,1872
C02,limpieza,E00092,Hidrolavadora,M00092,Karcher,MD0092,K4 Full Control,2021,"Hidrolavadora marca Karcher modelo K4 Full Control, eficiente y de uso doméstico.",220,1873
C02,limpieza,E00093,Secadora,M00093,LG,MD0093,DLE3500W,2020,"Secadora marca LG modelo DLE3500W, eficiente y de uso doméstico.",120,1074
C02,limpieza,E00094,Secadora,M00094,Whirlpool,MD0094,WED4815EW,2024,"Secadora marca Whirlpool modelo WED4815EW, eficiente y de uso doméstico.",120,2239
C02,limpieza,E00095,Plancha,M00095,Oster,MD0095,GCSTBS5802,2019,"Plancha marca Oster modelo GCSTBS5802, eficiente y de uso doméstico.",127,1181
C02,limpieza,E00096,Secadora,M00096,LG,MD0096,DLE3500W,2019,"Secadora marca LG modelo DLE3500W, eficiente y de uso doméstico.",120,4246
C02,limpieza,E00097,Hidrolavadora,M00097,Karcher,MD0097,K4 Full Control,2016,"Hidrolavadora marca Karcher modelo K4 Full Control, eficiente y de uso doméstico.",220,2302
C02,limpieza,E00098,Secadora,M00098,LG,MD0098,DLE3500W,2020,"Secadora marca LG modelo DLE3500W, eficiente y de uso doméstico.",240,4203
C02,limpieza,E00099,Hidrolavadora,M00099,Sun Joe,MD0099,SPX3000,2023,"Hidrolavadora marca Sun Joe modelo SPX3000, eficiente y de uso doméstico.",240,2257
C02,limpieza,E00100,Vaporeta,M00100,Karcher,MD0100,SC 3,2016,"Vaporeta marca Karcher modelo SC 3, eficiente y de uso doméstico.",127,1605
C02,limpieza,E00101,Aspiradora,M00101,Dyson,MD0101,V15 Detect,2022,"Aspiradora marca Dyson modelo V15 Detect, eficiente y de uso doméstico.",127,1413
C02,limpieza,E00102,Lavadora,M00102,Bosch,MD0102,Serie 6 WAU28PH9ES,2021,"Lavadora marca Bosch modelo Serie 6 WAU28PH9ES, eficiente y de uso doméstico.",240,1313
C02,limpieza,E00103,Lavadora,M00103,Samsung,MD0103,WA50R5400AV,2015,"Lavadora marca Samsung modelo WA50R5400AV, eficiente y de uso doméstico.",240,607
C02,limpieza,E00104,Vaporeta,M00104,Bissell,MD0104,PowerFresh 1940,2016,"Vaporeta marca Bissell modelo PowerFresh 1940, eficiente y de uso doméstico.",127,1596
C02,limpieza,E00105,Aspiradora,M00105,Hoover,MD0105,WindTunnel 2 UH72630,2021,"Aspiradora marca Hoover modelo WindTunnel 2 UH72630, eficiente y de uso doméstico.",240,1343
C02,limpieza,E00106,Aspiradora,M00106,Dyson,MD0106,V15 Detect,2016,"Aspiradora marca Dyson modelo V15 Detect, eficiente y de uso doméstico.",240,101
C02,limpieza,E00107,Plancha,M00107,Oster,MD0107,GCSTBS5802,2020,"Plancha marca Oster modelo GCSTBS5802, eficiente y de uso doméstico.",127,2948
C02,limpieza,E00108,Lavadora,M00108,Bosch,MD0108,Serie 6 WAU28PH9ES,2016,"Lavadora marca Bosch modelo Serie 6 WAU28PH9ES, eficiente y de uso doméstico.",120,1585
C02,limpieza,E00109,Plancha,M00109,Rowenta,MD0109,DW5080,2025,"Plancha marca Rowenta modelo DW5080, eficiente y de uso doméstico.",127,2177
C02,limpieza,E00110,Vaporeta,M00110,Bissell,MD0110,PowerFresh 1940,2016,"Vaporeta marca Bissell modelo PowerFresh 1940, eficiente y de uso doméstico.",127,1244
C02,limpieza,E00111,Aspiradora,M00111,Dyson,MD0111,V15 Detect,2019,"Aspiradora marca Dyson modelo V15 Detect, eficiente y de uso doméstico.",240,1969
C02,limpieza,E00112,Aspiradora,M00112,Roborock,MD0112,S7,2016,"Aspiradora marca Roborock modelo S7, eficiente y de uso doméstico.",240,1058
C02,limpieza,E00113,Hidrolavadora,M00113,Bosch,MD0113,EasyAquatak 120,2016,"Hidrolavadora marca Bosch modelo EasyAquatak 120, eficiente y de uso doméstico.",120,1453
C02,limpieza,E00114,Lavadora,M00114,Maytag,MD0114,MVWC565FW,2018,"Lavadora marca Maytag modelo MVWC565FW, eficiente y de uso doméstico.",120,1901
C02,limpieza,E00115,Plancha,M00115,Rowenta,MD0115,DW5080,2019,"Plancha marca Rowenta modelo DW5080, eficiente y de uso doméstico.",220,2184
C02,limpieza,E00116,Aspiradora,M00116,Shark,MD0116,Navigator Lift-Away NV352,2020,"Aspiradora marca Shark modelo Navigator Lift-Away NV352, eficiente y de uso doméstico.",127,1020
C02,limpieza,E00117,Aspiradora,M00117,iRobot,MD0117,Roomba s9,2020,"Aspiradora marca iRobot modelo Roomba s9, eficiente y de uso doméstico.",120,662
C02,limpieza,E00118,Lavadora,M00118,Bosch,MD0118,Serie 6 WAU28PH9ES,2015,"Lavadora marca Bosch modelo Serie 6 WAU28PH9ES, eficiente y de uso doméstico.",220,844
C02,limpieza,E00119,Plancha,M00119,Black+Decker,MD0119,D3030,2018,"Plancha marca Black+Decker modelo D3030, eficiente y de uso doméstico.",127,1759
C02,limpieza,E00120,Secadora,M00120,Samsung,MD0120,DV42H5000EW,2020,"Secadora marca Samsung modelo DV42H5000EW, eficiente y de uso doméstico.",120,1304
C02,limpieza,E00121,Lavavajillas,M00121,Mabe,MD0121,LP8000WG,2025,"Lavavajillas marca Mabe modelo LP8000WG, eficiente y de uso doméstico.",120,2126
C02,limpieza,E00122,Vaporeta,M00122,Polti,MD0122,Vaporella,2023,"Vaporeta marca Polti modelo Vaporella, eficiente y de uso doméstico.",240,1119
C02,limpieza,E00123,Lavavajillas,M00123,Bosch,MD0123,SPS2HKW58E,2018,"Lavavajillas marca Bosch modelo SPS2HKW58E, eficiente y de uso doméstico.",120,2059
C02,limpieza,E00124,Lavadora,M00124,Whirlpool,MD0124,WTW5000DW,2015,"Lavadora marca Whirlpool modelo WTW5000DW, eficiente y de uso doméstico.",240,978
C02,limpieza,E00125,Lavadora,M00125,LG,MD0125,F4J6VY2W,2024,"Lavadora marca LG modelo F4J6VY2W, eficiente y de uso doméstico.",127,1397
C02,limpieza,E00126,Vaporeta,M00126,Karcher,MD0126,SC 3,2017,"Vaporeta marca Karcher modelo SC 3, eficiente y de uso doméstico.",240,1525
C02,limpieza,E00127,Aspiradora,M00127,Dyson,MD0127,V8 Absolute,2023,"Aspiradora marca Dyson modelo V8 Absolute, eficiente y de uso doméstico.",220,1081
C02,limpieza,E00128,Secadora,M00128,LG,MD0128,DLE3500W,2022,"Secadora marca LG modelo DLE3500W, eficiente y de uso doméstico.",120,3143
C02,limpieza,E00129,Aspiradora,M00129,iRobot,MD0129,Roomba s9,2015,"Aspiradora marca iRobot modelo Roomba s9, eficiente y de uso doméstico.",240,690
C02,limpieza,E00130,Lavavajillas,M00130,Bosch,MD0130,SPS2HKW58E,2022,"Lavavajillas marca Bosch modelo SPS2HKW58E, eficiente y de uso doméstico.",120,1384
C02,limpieza,E00131,Lavavajillas,M00131,Bosch,MD0131,Serie 4 SMS46KW02E,2023,"Lavavajillas marca Bosch modelo Serie 4 SMS46KW02E, eficiente y de uso doméstico.",120,2273
C02,limpieza,E00132,Aspiradora,M00132,Miele,MD0132,Classic C1,2016,"Aspiradora marca Miele modelo Classic C1, eficiente y de uso doméstico.",220,1604
C02,limpieza,E00133,Vaporeta,M00133,Polti,MD0133,Vaporella,2018,"Vaporeta marca Polti modelo Vaporella, eficiente y de uso doméstico.",240,1108
C02,limpieza,E00134,Hidrolavadora,M00134,Bosch,MD0134,EasyAquatak 120,2018,"Hidrolavadora marca Bosch modelo EasyAquatak 120, eficiente y de uso doméstico.",127,1804
C02,limpieza,E00135,Vaporeta,M00135,Bissell,MD0135,PowerFresh 1940,2018,"Vaporeta marca Bissell modelo PowerFresh 1940, eficiente y de uso doméstico.",240,1194
C02,limpieza,E00136,Aspiradora,M00136,iRobot,MD0136,Roomba s9,2015,"Aspiradora marca iRobot modelo Roomba s9, eficiente y de uso doméstico.",240,1545
C02,limpieza,E00137,Vaporeta,M00137,Polti,MD0137,Vaporella,2016,"Vaporeta marca Polti modelo Vaporella, eficiente y de uso doméstico.",120,1573
C02,limpieza,E00138,Aspiradora,M00138,Xiaomi,MD0138,Mi Handheld Vacuum,2020,"Aspiradora marca Xiaomi modelo Mi Handheld Vacuum, eficiente y de uso doméstico.",127,1419
C02,limpieza,E00139,Plancha,M00139,Black+Decker,MD0139,D3030,2019,"Plancha marca Black+Decker modelo D3030, eficiente y de uso doméstico.",120,2016
C02,limpieza,E00140,Aspiradora,M00140,Shark,MD0140,Navigator Lift-Away NV352,2022,"Aspiradora marca Shark modelo Navigator Lift-Away NV352, eficiente y de uso doméstico.",127,1909
C02,limpieza,E00141,Plancha,M00141,Black+Decker,MD0141,D3030,2018,"Plancha marca Black+Decker modelo D3030, eficiente y de uso doméstico.",220,1235
C02,limpieza,E00142,Plancha,M00142,Philips,MD0142,GC5039/30,2021,"Plancha marca Philips modelo GC5039/30, eficiente y de uso doméstico.",220,2888
C02,limpieza,E00143,Aspiradora,M00143,Dyson,MD0143,V15 Detect,2015,"Aspiradora marca Dyson modelo V15 Detect, eficiente y de uso doméstico.",120,607
C02,limpieza,E00144,Lavadora,M00144,Samsung,MD0144,WA50R5400AV,2025,"Lavadora marca Samsung modelo WA50R5400AV, eficiente y de uso doméstico.",127,797
C02,limpieza,E00145,Vaporeta,M00145,Bissell,MD0145,PowerFresh 1940,2021,"Vaporeta marca Bissell modelo PowerFresh 1940, eficiente y de uso doméstico.",120,1735
C02,limpieza,E00146,Vaporeta,M00146,Karcher,MD0146,SC 3,2021,"Vaporeta marca Karcher modelo SC 3, eficiente y de uso doméstico.",127,1097
C02,limpieza,E00147,Secadora,M00147,Samsung,MD0147,DV42H5000EW,2023,"Secadora marca Samsung modelo DV42H5000EW, eficiente y de uso doméstico.",240,1482
C02,limpieza,E00148,Plancha,M00148,Black+Decker,MD0148,D3030,2024,"Plancha marca Black+Decker modelo D3030, eficiente y de uso doméstico.",120,1731
C02,limpieza,E00149,Vaporeta,M00149,Polti,MD0149,Vaporella,2022,"Vaporeta marca Polti modelo Vaporella, eficiente y de uso doméstico.",220,1463
C02,limpieza,E00150,Vaporeta,M00150,Karcher,MD0150,SC 3,2023,"Vaporeta marca Karcher modelo SC 3, eficiente y de uso doméstico.",127,1950
C02,limpieza,E00151,Plancha,M00151,Oster,MD0151,GCSTBS5802,2023,"Plancha marca Oster modelo GCSTBS5802, eficiente y de uso doméstico.",120,1768
C02,limpieza,E00152,Plancha,M00152,Black+Decker,MD0152,D3030,2025,"Plancha marca Black+Decker modelo D3030, eficiente y de uso doméstico.",127,1582
C02,limpieza,E00153,Hidrolavadora,M00153,Bosch,MD0153,EasyAquatak 120,2018,"Hidrolavadora marca Bosch modelo EasyAquatak 120, eficiente y de uso doméstico.",220,1470
C02,limpieza,E00154,Vaporeta,M00154,Bissell,MD0154,PowerFresh 1940,2017,"Vaporeta marca Bissell modelo PowerFresh 1940, eficiente y de uso doméstico.",127,1669
C02,limpieza,E00155,Plancha,M00155,Black+Decker,MD0155,D3030,2021,"Plancha marca Black+Decker modelo D3030, eficiente y de uso doméstico.",220,1065
C02,limpieza,E00156,Lavavajillas,M00156,Bosch,MD0156,SPS2HKW58E,2024,"Lavavajillas marca Bosch modelo SPS2HKW58E, eficiente y de uso doméstico.",127,1774
C02,limpieza,E00157,Aspiradora,M00157,Miele,MD0157,Classic C1,2020,"Aspiradora marca Miele modelo Classic C1, eficiente y de uso doméstico.",127,224
C02,limpieza,E00158,Lavadora,M00158,Bosch,MD0158,Serie 6 WAU28PH9ES,2022,"Lavadora marca Bosch modelo Serie 6 WAU28PH9ES, eficiente y de uso doméstico.",127,1243
